benchmark,input,seed,config,evidence_level,cycles,instructions,ipc,cache_misses,memory_stalls,speedup_vs_no_prefetch,speedup_vs_best_baseline,status,notes
matrix_or_array_loop,small,1,next_line,cycle_model,3096,324,0.10465116,1,2880,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,small,1,stride,cycle_model,3096,324,0.10465116,3,2880,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,small,1,simple_pointer_chase,cycle_model,3096,324,0.10465116,36,2880,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,small,1,copper,cycle_model,3096,324,0.10465116,36,2880,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,small,1,no_prefetch,cycle_model,4576,2112,0.46153846,8,640,1.000000,0.883741,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,small,1,next_line,cycle_model,4044,2112,0.52225519,1,80,1.131553,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,small,1,stride,cycle_model,4196,2112,0.50333651,3,240,1.090562,0.963775,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,small,1,simple_pointer_chase,cycle_model,4576,2112,0.46153846,8,640,1.000000,0.883741,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,small,1,copper,cycle_model,4576,2112,0.46153846,8,640,1.000000,0.883741,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
random_non_pointer_access,small,1,no_prefetch,cycle_model,2728,352,0.12903226,30,2400,1.000000,0.944282,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
random_non_pointer_access,small,1,next_line,cycle_model,2576,352,0.13664596,28,2240,1.059006,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
random_non_pointer_access,small,1,stride,cycle_model,2728,352,0.12903226,30,2400,1.000000,0.944282,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
random_non_pointer_access,small,1,simple_pointer_chase,cycle_model,2728,352,0.12903226,30,2400,1.000000,0.944282,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
random_non_pointer_access,small,1,copper,cycle_model,2728,352,0.12903226,30,2400,1.000000,0.944282,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
short_pointer_chains,small,1,no_prefetch,cycle_model,1504,704,0.46808511,8,640,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
short_pointer_chains,small,1,next_line,cycle_model,1504,704,0.46808511,8,640,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
short_pointer_chains,small,1,stride,cycle_model,1504,704,0.46808511,7,640,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
short_pointer_chains,small,1,simple_pointer_chase,cycle_model,1504,704,0.46808511,1,640,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
short_pointer_chains,small,1,copper,cycle_model,1504,704,0.46808511,8,640,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
long_pointer_chains,small,1,no_prefetch,cycle_model,9216,2688,0.29166667,64,5120,1.000000,0.480469,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
long_pointer_chains,small,1,next_line,cycle_model,9216,2688,0.29166667,64,5120,1.000000,0.480469,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
long_pointer_chains,small,1,stride,cycle_model,8988,2688,0.29906542,61,4880,1.025367,0.492657,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
long_pointer_chains,small,1,simple_pointer_chase,cycle_model,4428,2688,0.60704607,1,80,2.081301,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
long_pointer_chains,small,1,copper,cycle_model,9216,2688,0.29166667,64,5120,1.000000,0.480469,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
mixed_pointer_array,small,1,no_prefetch,cycle_model,6144,896,0.14583333,64,5120,1.000000,0.616536,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
mixed_pointer_array,small,1,next_line,cycle_model,3788,896,0.23653643,33,2640,1.621964,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
mixed_pointer_array,small,1,stride,cycle_model,6144,896,0.14583333,64,5120,1.000000,0.616536,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
mixed_pointer_array,small,1,simple_pointer_chase,cycle_model,3788,896,0.23653643,33,2640,1.621964,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
mixed_pointer_array,small,1,copper,cycle_model,6144,896,0.14583333,64,5120,1.000000,0.616536,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
noisy_allocation_pattern,small,1,no_prefetch,cycle_model,6752,1440,0.21327014,64,5120,1.000000,0.606043,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
noisy_allocation_pattern,small,1,next_line,cycle_model,4396,1440,0.32757052,33,2640,1.535942,0.930846,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
noisy_allocation_pattern,small,1,stride,cycle_model,6752,1440,0.21327014,64,5120,1.000000,0.606043,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
noisy_allocation_pattern,small,1,simple_pointer_chase,cycle_model,4092,1440,0.35190616,29,2320,1.650049,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
noisy_allocation_pattern,small,1,copper,cycle_model,6752,1440,0.21327014,64,5120,1.000000,0.606043,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
patricia,small,1,no_prefetch,cycle_model,2824,832,0.29461756,22,1760,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
patricia,small,1,next_line,cycle_model,2824,832,0.29461756,22,1760,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
patricia,small,1,stride,cycle_model,2824,832,0.29461756,22,1760,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
patricia,small,1,simple_pointer_chase,cycle_model,2824,832,0.29461756,4,1760,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
patricia,small,1,copper,cycle_model,2824,832,0.29461756,22,1760,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,medium,1,no_prefetch,cycle_model,18048,6912,0.38297872,96,7680,1.000000,0.599956,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,medium,1,next_line,cycle_model,39936,6912,0.17307692,384,30720,0.451923,0.271134,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,medium,1,stride,cycle_model,17288,6912,0.39981490,86,6880,1.043961,0.626330,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,medium,1,simple_pointer_chase,cycle_model,10828,6912,0.63834503,1,80,1.666790,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,medium,1,copper,cycle_model,18048,6912,0.38297872,96,7680,1.000000,0.599956,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
tree_traversal,medium,1,no_prefetch,cycle_model,6960,2208,0.31724138,48,3840,1.000000,0.486782,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,medium,1,next_line,cycle_model,6960,2208,0.31724138,48,3840,1.000000,0.486782,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,medium,1,stride,cycle_model,6960,2208,0.31724138,48,3840,1.000000,0.486782,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,medium,1,simple_pointer_chase,cycle_model,3388,2208,0.65171192,1,80,2.054309,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,medium,1,copper,cycle_model,6960,2208,0.31724138,48,3840,1.000000,0.486782,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
hash_table_chaining,medium,1,no_prefetch,cycle_model,16992,8064,0.47457627,72,5760,1.000000,0.731638,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,medium,1,next_line,cycle_model,18360,8064,0.43921569,90,7200,0.925490,0.677124,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,medium,1,stride,cycle_model,13876,8064,0.58114730,31,2480,1.224560,0.895935,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,medium,1,simple_pointer_chase,cycle_model,12432,8064,0.64864865,12,960,1.366795,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,medium,1,copper,cycle_model,16992,8064,0.47457627,72,5760,1.000000,0.731638,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
graph_adjacency_walk,medium,1,no_prefetch,cycle_model,5872,1280,0.21798365,52,4160,1.000000,0.676431,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,medium,1,next_line,cycle_model,5872,1280,0.21798365,52,4160,1.000000,0.676431,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,medium,1,stride,cycle_model,4884,1280,0.26208026,39,3120,1.202293,0.813268,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,medium,1,simple_pointer_chase,cycle_model,3972,1280,0.32225579,27,2160,1.478348,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,medium,1,copper,cycle_model,5872,1280,0.21798365,52,4160,1.000000,0.676431,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
branchy_pointer_chains,medium,1,no_prefetch,cycle_model,4824,2496,0.51741294,18,1440,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,medium,1,next_line,cycle_model,4824,2496,0.51741294,18,1440,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,medium,1,stride,cycle_model,4824,2496,0.51741294,18,1440,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,medium,1,simple_pointer_chase,cycle_model,4824,2496,0.51741294,2,1440,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,medium,1,copper,cycle_model,4824,2496,0.51741294,18,1440,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,medium,1,no_prefetch,cycle_model,16896,1920,0.11363636,192,15360,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,medium,1,next_line,cycle_model,16896,1920,0.11363636,1,15360,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,medium,1,stride,cycle_model,16896,1920,0.11363636,3,15360,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,medium,1,simple_pointer_chase,cycle_model,16896,1920,0.11363636,192,15360,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,medium,1,copper,cycle_model,16896,1920,0.11363636,192,15360,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,medium,1,no_prefetch,cycle_model,12384,1296,0.10465116,144,11520,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,medium,1,next_line,cycle_model,12384,1296,0.10465116,1,11520,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,medium,1,stride,cycle_model,12384,1296,0.10465116,3,11520,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,medium,1,simple_pointer_chase,cycle_model,12384,1296,0.10465116,144,11520,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,medium,1,copper,cycle_model,12384,1296,0.10465116,144,11520,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,medium,1,no_prefetch,cycle_model,12512,6336,0.50639386,8,640,1.000000,0.957481,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,medium,1,next_line,cycle_model,11980,6336,0.52888147,1,80,1.044407,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,medium,1,stride,cycle_model,12132,6336,0.52225519,3,240,1.031322,0.987471,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,medium,1,simple_pointer_chase,cycle_model,12512,6336,0.50639386,8,640,1.000000,0.957481,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
compute_heavy_low_memory,medium,1,copper,cycle_model,12512,6336,0.50639386,8,640,1.000000,0.957481,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
