design,target,flow,environment,status,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,report_path,notes
copper_clpd_sram_dir_clpd4k_a35t,xc7a35tcpg236-1,vivado_existing_report,local_windows,PASS,200,148,15,0,,,,2.96,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
copper_clpd_sram_dir_clpd8k_a35t,xc7a35tcpg236-1,vivado_existing_report,local_windows,PASS,229,150,33,0,,,,2.96,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
copper_clpd_sram_dir_clpd16k_a35t,xc7a35tcpg236-1,vivado_existing_report,local_windows,PARTIAL,307,152,65,0,,,,2.96,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
copper_clpd_sram_dir_clpd16k_a200t,xc7a200tfbg676-2,vivado_existing_report,local_windows,PASS,283,152,65,0,,,,4.094,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
copper_clpd_sram_dir_clpd64k_a200t,xc7a200tfbg676-2,vivado_existing_report,local_windows,PASS,629,156,260,0,,,,3.274,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
baseline_prefetch_unit,generic,yosys,github_actions,PASS,,,,,116,,,,,,research/results/logs/synthesis/yosys_generic_baseline_prefetch_unit.log,"Generic synthesis only; no mapped FPGA timing, Fmax, or power inferred."
copper_unit,generic,yosys,github_actions,PASS,,,,,428,,,,,,research/results/logs/synthesis/yosys_generic_copper_unit.log,"Generic synthesis only; no mapped FPGA timing, Fmax, or power inferred."
copper_with_queue,generic,yosys,github_actions,PASS,,,,,822,,,,,,research/results/logs/synthesis/yosys_generic_copper_with_queue.log,"Generic synthesis only; no mapped FPGA timing, Fmax, or power inferred."
copper_with_tables,generic,yosys,github_actions,PASS,,,,,3185,,,,,,research/results/logs/synthesis/yosys_generic_copper_with_tables.log,"Generic synthesis only; no mapped FPGA timing, Fmax, or power inferred."
baseline_prefetch_unit,ice40-hx8k,yosys+nextpnr-ice40,github_actions,PASS,43,,,,83,,,,,,research/results/logs/synthesis/nextpnr_ice40_baseline_prefetch_unit.log,Optional iCE40 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_unit,ice40-hx8k,yosys+nextpnr-ice40,github_actions,PASS,163,135,,,302,,94.14,,,,research/results/logs/synthesis/nextpnr_ice40_copper_unit.log,Optional iCE40 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_with_queue,ice40-hx8k,yosys+nextpnr-ice40,github_actions,PASS,333,266,,,603,,89.37,,,,research/results/logs/synthesis/nextpnr_ice40_copper_with_queue.log,Optional iCE40 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_with_tables,ice40-hx8k,yosys+nextpnr-ice40,github_actions,PASS,1227,1048,,,2281,,68.86,,,,research/results/logs/synthesis/nextpnr_ice40_copper_with_tables.log,Optional iCE40 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
baseline_prefetch_unit,ecp5-85k,yosys+nextpnr-ecp5,github_actions,PASS,1,,,,22,,,,,,research/results/logs/synthesis/nextpnr_ecp5_baseline_prefetch_unit.log,Optional ECP5 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_unit,ecp5-85k,yosys+nextpnr-ecp5,github_actions,PASS,561,135,,,831,,120.38,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_unit.log,Optional ECP5 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_with_queue,ecp5-85k,yosys+nextpnr-ecp5,github_actions,PASS,765,266,,,1224,,103.98,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_with_queue.log,Optional ECP5 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
copper_with_tables,ecp5-85k,yosys+nextpnr-ecp5,github_actions,PASS,2563,1048,,,3808,,90.50,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_with_tables.log,Optional ECP5 place-and-route attempt; Fmax is reported only if nextpnr emits it; no power inferred.
